idealpower1;s_ref;idealpower2;h_ref;
0;1392.2728679856468;0;196495.86007691862;
27.1903996740925;-7.95833740988499e-006;-7.39823988752845;2.49838402464675e-006;
27.1903995;9.55997214370569e-007;-7.39824;-0.00298472483885148;
27.19039952;-6.80939732287889e-008;-7.3988;-14.8764794092763;
27.19039952;-6.8094064186387e-008;-7.3982398;0.00232723756218393;
27.190399518;3.43149818074704e-008;-7.39823989;-6.31455195556378e-005;
27.1903995187;-1.52820134492937e-009;-7.3982398877;-2.05794786384909e-006;
27.19039951868;-5.04177966219388e-010;-7.398239887622;1.37128172443097e-008;
27.19039951867;8.07248683059186e-012;-7.3982398876235;-2.61074209423785e-008;
27.1903995186708;-3.3108565705188e-011;-7.39823988762255;-8.66072668061667e-010;
27.1903995186702;1.59175796659558e-013;-7.39823988762245;1.77672260580298e-009;
27.190399518670151;9.0957598091175926e-014;-7.3982398876225171;-1.6981817020817003e-011;
27.190399518670151;2.501333947507338e-013;-7.3982398876225002;4.5426360530685482e-010;
27.190399518670201;-2.2966793518021922e-012;-7.3982398876225002;4.5426360530685482e-010;
